127.0.0.1 - - [23/Jul/2017:10:53:15 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:53:34 +0800] "GET /testweb/video.html HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:53:35 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:53:45 +0800] "GET /testweb/video HTTP/1.1" 404 977
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:53:45 +0800] "GET /testweb/stream?video=123456.mp4 HTTP/1.1" 206 3948544
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:54:05 +0800] "GET /testweb/stream?video=123456.mp4 HTTP/1.1" 206 2473984
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:54:05 +0800] "GET /testweb/stream?video=123456.mp4 HTTP/1.1" 206 2621440
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:54:06 +0800] "GET /testweb/stream?video=123456.mp4 HTTP/1.1" 206 1867776
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:54:07 +0800] "GET /testweb/stream?video=123456.mp4 HTTP/1.1" 206 1835008
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:54:07 +0800] "GET /testweb/stream?video=123456.mp4 HTTP/1.1" 206 2015232
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:54:08 +0800] "GET /testweb/stream?video=123456.mp4 HTTP/1.1" 206 1802240
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:54:12 +0800] "GET /testweb/stream?video=123456.mp4 HTTP/1.1" 206 2211840
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:54:13 +0800] "GET /testweb/stream?video=123456.mp4 HTTP/1.1" 206 3457024
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:54:28 +0800] "GET /testweb/stream?video=123456.mp4 HTTP/1.1" 206 344064
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:54:29 +0800] "GET /testweb/stream?video=123456.mp4 HTTP/1.1" 206 1148012
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:54:37 +0800] "GET /testweb/stream?video=123456.mp4 HTTP/1.1" 206 23366
0:0:0:0:0:0:0:1 - - [23/Jul/2017:10:54:53 +0800] "GET /testweb/stream?video=123456.mp4 HTTP/1.1" 206 656384
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:02:54 +0800] "GET /testweb/index.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:02:54 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:03:22 +0800] "GET /testweb/index.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:03:25 +0800] "POST /testweb/loginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:03:25 +0800] "GET /testweb/index.jsp HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:03:26 +0800] "GET /testweb/addUser.jsp HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:03:28 +0800] "POST /testweb/addUserServlet HTTP/1.1" 500 1673
0:0:0:0:0:0:0:1 - - [23/Jul/2017:12:04:32 +0800] "GET /testweb/video.html HTTP/1.1" 304 -
